"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"58027099999","2021-01-01T02:00:00","34.2833333","117.15","42.0","XUZHOU, CH","FM-12","4","","12","16","","","+0.05","7","84","","30.46","30.30","6.21","15","130","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN12458027 04960 /1301 11090 21112 30260 40316 57017 60002 70000 333 11006 21108 3/100 5000/ 54405 59067 60001 70000 90720 91105=","","","","","","","","","",""
"58027099999","2021-01-01T05:00:00","34.2833333","117.15","42.0","XUZHOU, CH","FM-12","4","","12","16","","","+0.04","7","84","","30.42","30.25","5.59","15","170","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN12458027 04959 /1701 11091 21113 30245 40301 57015 60002 700// 333 11006 21108 3/101 5000/ 54405 59067 60001 70000 90720 91103=","","","","","","","","","",""
"58027099999","2021-01-01T08:00:00","34.2833333","117.15","42.0","XUZHOU, CH","FM-12","4","","14","19","","","+0.01","7","80","","30.40","30.24","6.21","18","140","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN12458027 04960 /1401 11072 21101 30240 40296 57005 60002 70000 333 11006 21095 3/101 5000/ 54405 59071 60001 70000 90720 91102=","","","","","","","","","",""
"58027099999","2021-01-01T11:00:00","34.2833333","117.15","42.0","XUZHOU, CH","FM-12","4","","14","32","","","+0.03","7","48","","30.37","30.21","7.46","26","260","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN12458027 04962 /2603 11001 21098 30230 40285 57010 60002 70000 333 10000 21095 3/101 5003/ 54405 59084 60001 70000 90720 91106=","","","","","","","","","",""
"58027099999","2021-01-01T14:00:00","34.2833333","117.15","42.0","XUZHOU, CH","FM-12","4","","18","38","","","+0.07","7","44","","30.30","30.14","7.46","31","260","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN12458027 04962 /2603 10032 21079 30205 40260 57025 60002 70000 333 10032 21095 3/101 5007/ 54405 59079 60001 70000 90720 91106=","","","","","","","","","",""
"58027099999","2021-01-01T17:00:00","34.2833333","117.15","42.0","XUZHOU, CH","FM-12","4","","21","36","","","-0.02","2","53","","30.32","30.15","6.84","31","220","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN12458027 04961 /2201 10023 21063 30211 40266 52006 60002 70000 333 10039 21095 3/101 5004/ 54405 59067 60001 70000 90720 91106=","","","","","","","","","",""
"58027099999","2021-01-01T20:00:00","34.2833333","117.15","42.0","XUZHOU, CH","FM-12","4","","22","25","","","-0.05","2","86","","30.37","30.21","3.73","24","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN12458027 04956 /0000 11038 21058 30229 40285 52018 60002 71000 333 10039 21095 3/101 5002/ 544// 59048 60001 70000 90720 91106=","","","","","","","","","",""
"58027099999","2021-01-01T23:00:00","34.2833333","117.15","42.0","XUZHOU, CH","FM-12","4","","21","22","","","-0.03","2","97","","30.40","30.23","2.98","22","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN12458027 04948 /3600 11056 21060 30238 40293 52009 60002 710// 333 10039 21095 3/101 5001/ 54405 59039 60001 70000 90720 91106=","","","","","","","","","",""
"58027099999","2021-01-02T02:00:00","34.2833333","117.15","42.0","XUZHOU, CH","FM-12","4","","21","21","","","+0.01","7","97","","30.38","30.22","2.36","21","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN12458027 04938 /3600 11059 21063 30234 40289 57004 60002 71000 333 10039 21095 3/101 5000/ 54405 59026 60001 70000 90720 91105=","","","","","","","","","",""
"58027099999","2021-01-02T05:00:00","34.2833333","117.15","42.0","XUZHOU, CH","FM-12","4","","20","21","","","0.00","4","97","","30.38","30.22","2.11","21","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN12458027 04934 /0800 11063 21067 30234 40289 54000 60002 710// 333 10039 21095 3/101 5000/ 54405 59011 60001 70000 90720 91102=","","","","","","","","","",""
